Latitude,Longitude,Meadow_type,FIN_TYP,nearestDist (m),ALT_CODE,ECOREGION,ECO_CODE,ECO_CODE_X,Lat_Zone,PROVINCE,PROV_CODE,REALM,RLM_CODE,ARCTICCODE,AREA,BASINAREA,BASINID,BASINLENGT,BASINORDER,COLOR,CONTINENT_,C_BASIN_,C_BASIN_ID,DATA_VOL,DBITEMS,ESRI,HYDRO,MERGED_BAS,OCEANCODE,OCEANNAME,OCEAN_CODE,PERIMETER,RECORDNAME,SEABASINCO,SEABASINNA,SEACODE,SEANAME,SUBCONTINE,SUBCONTINE1,SYMBOLFLD,UP6
-38.736749,146.627466,monospecific,2,0,198,Cape Howe,20204,204,Temperate,Southeast Australian Shelf,56,Temperate Australasia,11,0,0.25,2410.8,3955,55.6,1,8,3,6838,6837,0,Record:3955,Australasia,Australasia,0,64,Indian Ocean,3,2,GHAASBasin3955,1411,South East Australia Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-38.737174,146.627947,monospecific,2,0,198,Cape Howe,20204,204,Temperate,Southeast Australian Shelf,56,Temperate Australasia,11,0,0.25,2410.8,3955,55.6,1,8,3,6838,6837,0,Record:3955,Australasia,Australasia,0,64,Indian Ocean,3,2,GHAASBasin3955,1411,South East Australia Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-38.73691,146.627744,monospecific,2,0,198,Cape Howe,20204,204,Temperate,Southeast Australian Shelf,56,Temperate Australasia,11,0,0.25,2410.8,3955,55.6,1,8,3,6838,6837,0,Record:3955,Australasia,Australasia,0,64,Indian Ocean,3,2,GHAASBasin3955,1411,South East Australia Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-31.98873333,115.5172167,monospecific,1,0,195,Leeuwin,20209,209,Temperate,Southwest Australian Shelf,57,Temperate Australasia,11,0,15.5,166000.3,109,762,4,7,3,6577,6576,0,Record:109,Australasia,Australasia,0,64,Indian Ocean,3,24,Swan-Avon,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-25.7779,113.4483333,monospecific,7,55334.98762,193,Shark Bay,20210,210,Temperate,West Central Australian Shelf,58,Temperate Australasia,11,0,0.75,8352.9,1323,150.2,1,9,3,6553,6552,4,Record:1323,Australasia,Australasia,0,64,Indian Ocean,3,4,GHAASBasin1323,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-35.09158689,117.9490252,monospecific,1,10160.76707,195,Leeuwin,20209,209,Temperate,Southwest Australian Shelf,57,Temperate Australasia,11,0,0.5,5095.2,2048,111.2,1,9,3,6736,6735,0,Record:2048,Australasia,Australasia,0,64,Indian Ocean,3,3,GHAASBasin2048,1412,Great Australian Bay,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-35.09153774,117.9491596,monospecific,1,10155.3229,195,Leeuwin,20209,209,Temperate,Southwest Australian Shelf,57,Temperate Australasia,11,0,0.5,5095.2,2048,111.2,1,9,3,6736,6735,0,Record:2048,Australasia,Australasia,0,64,Indian Ocean,3,3,GHAASBasin2048,1412,Great Australian Bay,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-35.09146765,117.9490733,monospecific,1,10147.40911,195,Leeuwin,20209,209,Temperate,Southwest Australian Shelf,57,Temperate Australasia,11,0,0.5,5095.2,2048,111.2,1,9,3,6736,6735,0,Record:2048,Australasia,Australasia,0,64,Indian Ocean,3,3,GHAASBasin2048,1412,Great Australian Bay,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-25.84755,113.8352306,monospecific,7,16517.53717,193,Shark Bay,20210,210,Temperate,West Central Australian Shelf,58,Temperate Australasia,11,0,0.75,8352.9,1323,150.2,1,9,3,6553,6552,4,Record:1323,Australasia,Australasia,0,64,Indian Ocean,3,4,GHAASBasin1323,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-25.84743616,113.8355538,monospecific,7,16485.36794,193,Shark Bay,20210,210,Temperate,West Central Australian Shelf,58,Temperate Australasia,11,0,0.75,8352.9,1323,150.2,1,9,3,6553,6552,4,Record:1323,Australasia,Australasia,0,64,Indian Ocean,3,4,GHAASBasin1323,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-25.84263056,113.83585,monospecific,7,16456.08338,193,Shark Bay,20210,210,Temperate,West Central Australian Shelf,58,Temperate Australasia,11,0,0.75,8352.9,1323,150.2,1,9,3,6553,6552,4,Record:1323,Australasia,Australasia,0,64,Indian Ocean,3,4,GHAASBasin1323,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-25.7719,113.8226667,monospecific,7,17788.50335,193,Shark Bay,20210,210,Temperate,West Central Australian Shelf,58,Temperate Australasia,11,0,0.75,8352.9,1323,150.2,1,9,3,6553,6552,4,Record:1323,Australasia,Australasia,0,64,Indian Ocean,3,4,GHAASBasin1323,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-25.77231863,113.8236086,monospecific,7,17694.06228,193,Shark Bay,20210,210,Temperate,West Central Australian Shelf,58,Temperate Australasia,11,0,0.75,8352.9,1323,150.2,1,9,3,6553,6552,4,Record:1323,Australasia,Australasia,0,64,Indian Ocean,3,4,GHAASBasin1323,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-25.77256246,113.825004,monospecific,7,17554.0245,193,Shark Bay,20210,210,Temperate,West Central Australian Shelf,58,Temperate Australasia,11,0,0.75,8352.9,1323,150.2,1,9,3,6553,6552,4,Record:1323,Australasia,Australasia,0,64,Indian Ocean,3,4,GHAASBasin1323,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
