Site,CoreID,Species,Meadow_type,Location,Station,Latitude,Longitude,Country,Stock_0_20cm,Stock_0_50cm,Stock_20_50cm,Stock_20_50cm_estimate,d13C_surface,d13C_0_20cm,SD_d13C_0_20cm,N_d13C_0_20cm,d13C_0_50cm,SD_d13C_0_50cm,N_d13C_0_50cm,d13C_20_50cm,SD_d13C_20_50cm,N_d13C_20_50cm,d13C_leaf,SD_d13C_leaf,N_d13C_leaf,surface_soil_leaf_difference_d13C,z0_20_soil_leaf_difference_d13C,z20_50_soil_leaf_difference_d13C,Source
,#AA,Posidonia australis,monospecific,Frenchman's Bay,,-35.09146765,117.9490733,Australia,33.6,50.8,17.3,17.2,-11.3,-11,0.53,5,-10.9,0.54,9,-10.8,0.59,4,,,,-2.3,-2,-1.8,Serrano O unpublished data
,#Z,Posidonia australis,monospecific,Frenchman's Bay,,-35.09153774,117.9491596,Australia,19.6,35.1,15.2,15.5,-11.6,-11,0.87,5,-11.1,0.67,9,-11.2,0.49,3,,,,-2.6,-2,-2.2,Serrano O unpublished data
,F,Posidonia australis,monospecific,Oyster Harbour,,-34.98088333,117.9594546,Australia,23.4,61.7,38,38.3,-14.5,-12.3,2.18,5,-11.7,2.02,7,-10.3,0.27,2,,,,-5.5,-3.3,-1.3,Serrano unpublished data
,#D,Posidonia australis,monospecific,Oyster Harbour,,-34.98088333,117.9594546,Australia,32.2,82,51.1,49.8,-12.8,,,,-11.3,0.95,6,-11,0.64,5,,,,-3.8,,,"Rozaimi M.; Lavery,P.S.; Serrano, O.; Kyrwood, D. 2016 Long-term carbon storage and its recent loss in an estuarine Posidonia australis meadow (Albany, Western Australia). Estuarine, coastal and shelf science ,171, 58-65. DOI: 10.1016/j.ecss.2016.01.001"
,#E,Posidonia australis,monospecific,Oyster Harbour,,-34.98088333,117.9594546,Australia,41.1,86.8,47.6,45.7,-14,,,,-12,2.79,2,,,,,,,-5,,,"Rozaimi M.; Lavery,P.S.; Serrano, O.; Kyrwood, D. 2016 Long-term carbon storage and its recent loss in an estuarine Posidonia australis meadow (Albany, Western Australia). Estuarine, coastal and shelf science ,171, 58-65. DOI: 10.1016/j.ecss.2016.01.001"
,#R,Posidonia australis,monospecific,Waychinicup,,-34.89394722,118.333175,Australia,35.3,84.3,53.9,49,-15.4,-14.7,0.67,4,-15.6,1.72,8,-16.5,2.12,4,,,,-6.4,-5.7,-7.5,Serrano O unpublished data
,#V,Posidonia australis,monospecific,Oyster Harbour,,-34.89394722,118.333175,Australia,35.3,72,43.9,36.7,-11.7,-11.2,0.6,5,-10.9,0.67,8,-10.4,0.46,3,,,,-2.7,-2.2,-1.4,Serrano O unpublished data
,#U,Posidonia australis,monospecific,Waychinicup,,-34.89391408,118.3332542,Australia,48.5,101.4,54.4,52.9,-12.1,-13,0.97,7,-15.9,3,17,-17.9,2.04,10,,,,-3.1,-4,-8.9,Serrano unpublished data
,#T,Posidonia australis,monospecific,Waychinicup,,-34.89388359,118.3333164,Australia,28.1,,,,-16.2,-14.6,1.89,4,,,,,,,,,,-7.2,-5.6,,Serrano O unpublished data
,#X,Posidonia australis,monospecific,Oyster Harbour,,-34.89388359,118.3333164,Australia,24.6,64,44.7,39.4,-9.5,-10.5,0.6,5,-10.6,0.99,8,-10.8,1.61,3,,,,-0.5,-1.5,-1.8,Serrano O unpublished data
,#S,Posidonia australis,monospecific,Waychinicup,,-34.89396231,118.3333929,Australia,20.7,71.6,50.8,50.9,-14.5,-13.7,1.52,5,-15.1,2.65,8,-17.5,2.58,3,,,,-5.5,-4.7,-8.5,Serrano O unpublished data
,#W,Posidonia australis,monospecific,Oyster Harbour,,-34.89396231,118.3333929,Australia,37.1,74.8,47.4,37.7,-10.6,-9.8,1.63,3,-10,1.09,6,-10.3,0.37,3,,,,-1.6,-0.8,-1.3,Serrano O unpublished data
8,#39-1,"Enhalus acoroides, Thalassia hemprichii",multispecific,South China Sea,Silaqui Island,16.44379,119.92373,Philippines,21.2,,,,-12.9,-13.4,0.36,4,,,,,,,,,,,,,"Miyajima, unpublished data"
9,#40-1,"Enhalus acoroides, Thalassia hemprichii",multispecific,South China Sea,Santiago Island,16.42887,119.95324,Philippines,16.1,,,,-11.6,-11.4,0.22,4,,,,,,,,,,,,,"Miyajima, unpublished data"
9,#40-2,"Enhalus acoroides, Thalassia hemprichii",multispecific,South China Sea,Santiago Island,16.42887,119.95324,Philippines,17.5,,,,-11.8,-11.5,0.19,4,,,,,,,,,,,,,"Miyajima, unpublished data"
